id,id2,geography,medianincome,medianincomemoe,housingmedian,housingmoe
0500000US51001,51001,"Accomack County, Virginia",42260,2253,687,32
0500000US51003,51003,"Albemarle County, Virginia",72265,2910,1213,27
0500000US51005,51005,"Alleghany County, Virginia",46020,4009,539,26
0500000US51007,51007,"Amelia County, Virginia",58535,5713,871,80
0500000US51009,51009,"Amherst County, Virginia",49677,3603,736,29
0500000US51011,51011,"Appomattox County, Virginia",54875,5421,723,57
0500000US51013,51013,"Arlington County, Virginia",112138,2139,2037,26
0500000US51015,51015,"Augusta County, Virginia",59544,2220,876,35
0500000US51017,51017,"Bath County, Virginia",44483,3178,592,147
0500000US51019,51019,"Bedford County, Virginia",59405,1577,818,26
0500000US51021,51021,"Bland County, Virginia",46927,6003,493,67
0500000US51023,51023,"Botetourt County, Virginia",64733,3179,932,31
0500000US51025,51025,"Brunswick County, Virginia",40871,2708,680,77
0500000US51027,51027,"Buchanan County, Virginia",30828,1316,418,22
0500000US51029,51029,"Buckingham County, Virginia",46610,5105,713,40
0500000US51031,51031,"Campbell County, Virginia",48823,2634,721,38
0500000US51033,51033,"Caroline County, Virginia",60925,2456,1111,44
0500000US51035,51035,"Carroll County, Virginia",41145,2793,525,42
0500000US51036,51036,"Charles City County, Virginia",55069,4060,813,68
0500000US51037,51037,"Charlotte County, Virginia",38350,2730,563,56
0500000US51041,51041,"Chesterfield County, Virginia",76969,1205,1258,14
0500000US51043,51043,"Clarke County, Virginia",72129,6699,1325,123
0500000US51045,51045,"Craig County, Virginia",53526,15331,548,84
0500000US51047,51047,"Culpeper County, Virginia",69693,2672,1300,51
0500000US51049,51049,"Cumberland County, Virginia",43020,3238,865,52
0500000US51051,51051,"Dickenson County, Virginia",29916,3029,423,58
0500000US51053,51053,"Dinwiddie County, Virginia",54640,3190,928,43
0500000US51057,51057,"Essex County, Virginia",50629,3173,873,50
0500000US51059,51059,"Fairfax County, Virginia",117515,1314,2023,12
0500000US51061,51061,"Fauquier County, Virginia",94775,3957,1591,51
0500000US51063,51063,"Floyd County, Virginia",48396,4500,570,32
0500000US51065,51065,"Fluvanna County, Virginia",67964,4057,1209,61
0500000US51067,51067,"Franklin County, Virginia",51208,3353,724,29
0500000US51069,51069,"Frederick County, Virginia",71037,1954,1165,28
0500000US51071,51071,"Giles County, Virginia",49734,2997,595,39
0500000US51073,51073,"Gloucester County, Virginia",63881,2572,1084,52
0500000US51075,51075,"Goochland County, Virginia",86652,4868,1216,78
0500000US51077,51077,"Grayson County, Virginia",32048,2185,436,42
0500000US51079,51079,"Greene County, Virginia",62952,3813,1194,84
0500000US51081,51081,"Greensville County, Virginia",42121,5250,694,56
0500000US51083,51083,"Halifax County, Virginia",39233,2600,573,35
0500000US51085,51085,"Hanover County, Virginia",84955,2275,1292,29
0500000US51087,51087,"Henrico County, Virginia",66447,1191,1180,10
0500000US51089,51089,"Henry County, Virginia",36779,1679,535,25
0500000US51091,51091,"Highland County, Virginia",45094,4452,435,30
0500000US51093,51093,"Isle of Wight County, Virginia",67767,3199,1095,54
0500000US51095,51095,"James City County, Virginia",80772,3757,1298,54
